num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD,CSHD
6,3,0.8,1000,MCMC,7,1,14
6,3,0.8,500,MCMC,10,3,15
6,3,0.8,100,MCMC,8,2,12
6,2,0.8,1000,MCMC,8,3,13
6,2,0.8,500,MCMC,6,3,14
6,2,0.8,100,MCMC,11,3,16
6,3,0.6,1000,MCMC,5,0,8
6,3,0.6,500,MCMC,8,0,9
6,3,0.6,100,MCMC,3,0,6
6,2,0.6,1000,MCMC,8,1,9
6,2,0.6,500,MCMC,4,2,8
6,2,0.6,100,MCMC,12,0,12
6,3,0.4,1000,MCMC,4,2,5
6,3,0.4,500,MCMC,2,2,2
6,3,0.4,100,MCMC,3,3,4
6,2,0.4,1000,MCMC,0,0,3
6,2,0.4,500,MCMC,3,0,5
6,2,0.4,100,MCMC,0,0,3
6,3,0.2,1000,MCMC,3,2,3
6,3,0.2,500,MCMC,3,1,3
6,3,0.2,100,MCMC,5,2,5
6,2,0.2,1000,MCMC,3,1,5
6,2,0.2,500,MCMC,3,0,4
6,2,0.2,100,MCMC,7,2,8
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,2,0,2
4,2,0.8,100,MCMC,0,1,1
4,2,0.8,1000,MCMC,0,0,3
4,2,0.8,500,MCMC,0,0,2
4,2,0.8,100,MCMC,0,0,2
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,0,0,2
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,0,1,1
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,1,1
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,3,0,3
4,2,0.4,100,MCMC,5,0,5
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,2,0,2
4,2,0.2,100,MCMC,1,0,1
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,1,0,1
4,2,0.2,100,MCMC,2,0,2
