num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD,CSHD
6,3,0.8,1000,MCMC,16,4,18
6,3,0.8,500,MCMC,2,1,8
6,3,0.8,100,MCMC,12,2,15
6,2,0.8,1000,MCMC,6,1,11
6,2,0.8,500,MCMC,4,2,11
6,2,0.8,100,MCMC,8,2,12
6,3,0.6,1000,MCMC,1,1,3
6,3,0.6,500,MCMC,4,0,5
6,3,0.6,100,MCMC,9,2,9
6,2,0.6,1000,MCMC,3,0,8
6,2,0.6,500,MCMC,2,0,6
6,2,0.6,100,MCMC,5,0,7
6,3,0.4,1000,MCMC,5,0,6
6,3,0.4,500,MCMC,4,0,5
6,3,0.4,100,MCMC,5,1,6
6,2,0.4,1000,MCMC,4,0,4
6,2,0.4,500,MCMC,4,0,4
6,2,0.4,100,MCMC,5,1,5
6,3,0.2,1000,MCMC,3,1,3
6,3,0.2,500,MCMC,0,1,0
6,3,0.2,100,MCMC,12,2,12
6,2,0.2,1000,MCMC,2,0,2
6,2,0.2,500,MCMC,4,0,4
6,2,0.2,100,MCMC,5,0,5
4,2,0.8,1000,MCMC,0,0,2
4,2,0.8,500,MCMC,0,0,1
4,2,0.8,100,MCMC,0,0,2
4,2,0.8,1000,MCMC,1,0,2
4,2,0.8,500,MCMC,1,0,1
4,2,0.8,100,MCMC,3,0,4
4,2,0.6,1000,MCMC,0,0,1
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,1,0,1
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,2,0,2
4,2,0.6,100,MCMC,0,0,0
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,2,0,2
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,8,2,8
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,2,0,2
4,2,0.2,100,MCMC,2,0,2
6,3,0.8,1000,MCMC,1,1,7
6,3,0.8,500,MCMC,2,0,6
6,3,0.8,100,MCMC,2,0,6
6,2,0.8,1000,MCMC,3,3,10
6,2,0.8,500,MCMC,2,2,8
6,2,0.8,100,MCMC,3,2,8
6,3,0.6,1000,MCMC,3,1,8
6,3,0.6,500,MCMC,6,0,9
6,3,0.6,100,MCMC,3,0,6
6,2,0.6,1000,MCMC,2,2,6
6,2,0.6,500,MCMC,0,2,5
6,2,0.6,100,MCMC,2,2,7
6,3,0.4,1000,MCMC,0,1,2
6,3,0.4,500,MCMC,4,1,5
6,3,0.4,100,MCMC,6,1,8
6,2,0.4,1000,MCMC,2,0,3
6,2,0.4,500,MCMC,3,0,3
6,2,0.4,100,MCMC,4,0,4
6,3,0.2,1000,MCMC,4,2,6
6,3,0.2,500,MCMC,2,0,4
6,3,0.2,100,MCMC,5,2,5
6,2,0.2,1000,MCMC,2,0,2
6,2,0.2,500,MCMC,3,0,3
6,2,0.2,100,MCMC,4,3,4
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,0,2
4,2,0.8,100,MCMC,5,2,6
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,0,1
4,2,0.8,100,MCMC,8,1,8
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,1,0,1
4,2,0.6,100,MCMC,0,0,0
4,2,0.6,1000,MCMC,2,0,2
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,7,2,7
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,6,1,6
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,1,0,1
4,2,0.4,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,1,1,1
4,2,0.2,100,MCMC,1,1,1
6,3,0.8,1000,MCMC,7,2,11
6,3,0.8,500,MCMC,4,1,9
6,3,0.8,100,MCMC,1,0,6
6,2,0.8,1000,MCMC,3,0,5
6,2,0.8,500,MCMC,3,1,8
6,2,0.8,100,MCMC,1,0,5
6,3,0.6,1000,MCMC,3,1,8
6,3,0.6,500,MCMC,8,2,12
6,3,0.6,100,MCMC,19,3,19
6,2,0.6,1000,MCMC,1,0,6
