num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD,CSHD
20,10,0.8,1000,Greedy,153.0,15.0,214.0
20,10,0.8,1000,GES,175.0,,
20,10,0.8,500,Greedy,185.0,15.0,225.0
20,10,0.8,500,GES,150.0,,
20,10,0.8,100,Greedy,190.0,15.0,207.0
20,10,0.8,100,GES,148.0,,
20,2,0.8,1000,Greedy,155.0,17.0,226.0
20,2,0.8,1000,GES,160.0,,
20,2,0.8,500,Greedy,131.0,17.0,196.0
20,2,0.8,500,GES,174.0,,
20,2,0.8,100,Greedy,162.0,15.0,191.0
20,2,0.8,100,GES,190.0,,
20,10,0.6,1000,Greedy,144.0,14.0,181.0
20,10,0.6,1000,GES,169.0,,
20,10,0.6,500,Greedy,128.0,14.0,168.0
20,10,0.6,500,GES,146.0,,
20,10,0.6,100,Greedy,138.0,14.0,152.0
20,10,0.6,100,GES,142.0,,
20,2,0.6,1000,Greedy,153.0,18.0,197.0
20,2,0.6,1000,GES,201.0,,
20,2,0.6,500,Greedy,163.0,16.0,202.0
20,2,0.6,500,GES,191.0,,
20,2,0.6,100,Greedy,115.0,15.0,151.0
20,2,0.6,100,GES,138.0,,
20,10,0.4,1000,Greedy,109.0,14.0,142.0
20,10,0.4,1000,GES,148.0,,
20,10,0.4,500,Greedy,123.0,13.0,138.0
20,10,0.4,500,GES,163.0,,
20,10,0.4,100,Greedy,94.0,7.0,115.0
20,10,0.4,100,GES,134.0,,
20,2,0.4,1000,Greedy,89.0,14.0,142.0
20,2,0.4,1000,GES,158.0,,
20,2,0.4,500,Greedy,150.0,14.0,168.0
20,2,0.4,500,GES,161.0,,
20,2,0.4,100,Greedy,109.0,14.0,122.0
20,2,0.4,100,GES,105.0,,
20,10,0.2,1000,Greedy,63.0,14.0,73.0
20,10,0.2,1000,GES,62.0,,
20,10,0.2,500,Greedy,58.0,14.0,68.0
20,10,0.2,500,GES,57.0,,
20,10,0.2,100,Greedy,55.0,13.0,64.0
20,10,0.2,100,GES,49.0,,
20,2,0.2,1000,Greedy,36.0,11.0,47.0
20,2,0.2,1000,GES,34.0,,
20,2,0.2,500,Greedy,30.0,10.0,41.0
20,2,0.2,500,GES,21.0,,
20,2,0.2,100,Greedy,21.0,11.0,32.0
20,2,0.2,100,GES,28.0,,
6,3,0.8,1000,Greedy,23.0,3.0,24.0
6,3,0.8,1000,GES,19.0,,
6,3,0.8,500,Greedy,15.0,4.0,18.0
6,3,0.8,500,GES,17.0,,
6,3,0.8,100,Greedy,12.0,1.0,13.0
6,3,0.8,100,GES,13.0,,
6,2,0.8,1000,Greedy,5.0,3.0,7.0
6,2,0.8,1000,GES,9.0,,
6,2,0.8,500,Greedy,8.0,3.0,9.0
6,2,0.8,500,GES,9.0,,
6,2,0.8,100,Greedy,16.0,3.0,16.0
6,2,0.8,100,GES,14.0,,
6,3,0.6,1000,Greedy,6.0,2.0,8.0
6,3,0.6,1000,GES,11.0,,
6,3,0.6,500,Greedy,2.0,2.0,3.0
6,3,0.6,500,GES,6.0,,
6,3,0.6,100,Greedy,5.0,1.0,6.0
6,3,0.6,100,GES,12.0,,
6,2,0.6,1000,Greedy,4.0,1.0,7.0
6,2,0.6,1000,GES,2.0,,
6,2,0.6,500,Greedy,0.0,0.0,4.0
6,2,0.6,500,GES,2.0,,
6,2,0.6,100,Greedy,7.0,0.0,9.0
6,2,0.6,100,GES,10.0,,
6,3,0.4,1000,Greedy,0.0,0.0,0.0
6,3,0.4,1000,GES,2.0,,
6,3,0.4,500,Greedy,0.0,0.0,2.0
6,3,0.4,500,GES,3.0,,
6,3,0.4,100,Greedy,0.0,1.0,1.0
6,3,0.4,100,GES,2.0,,
6,2,0.4,1000,Greedy,0.0,0.0,0.0
6,2,0.4,1000,GES,2.0,,
6,2,0.4,500,Greedy,0.0,0.0,2.0
6,2,0.4,500,GES,2.0,,
6,2,0.4,100,Greedy,0.0,0.0,0.0
6,2,0.4,100,GES,3.0,,
6,3,0.2,1000,Greedy,0.0,0.0,0.0
6,3,0.2,1000,GES,2.0,,
6,3,0.2,500,Greedy,0.0,0.0,0.0
6,3,0.2,500,GES,2.0,,
6,3,0.2,100,Greedy,2.0,2.0,2.0
6,3,0.2,100,GES,2.0,,
6,2,0.2,1000,Greedy,6.0,2.0,6.0
6,2,0.2,1000,GES,1.0,,
6,2,0.2,500,Greedy,0.0,0.0,1.0
6,2,0.2,500,GES,1.0,,
6,2,0.2,100,Greedy,0.0,0.0,0.0
6,2,0.2,100,GES,2.0,,
4,2,0.8,1000,Greedy,4.0,2.0,5.0
4,2,0.8,1000,GES,5.0,,
4,2,0.8,500,Greedy,0.0,0.0,0.0
4,2,0.8,500,GES,5.0,,
4,2,0.8,100,Greedy,4.0,1.0,5.0
4,2,0.8,100,GES,5.0,,
4,2,0.8,1000,Greedy,10.0,2.0,10.0
4,2,0.8,1000,GES,9.0,,
4,2,0.8,500,Greedy,11.0,2.0,9.0
4,2,0.8,500,GES,9.0,,
4,2,0.8,100,Greedy,6.0,2.0,6.0
4,2,0.8,100,GES,6.0,,
4,2,0.6,1000,Greedy,2.0,2.0,2.0
4,2,0.6,1000,GES,1.0,,
4,2,0.6,500,Greedy,2.0,2.0,2.0
4,2,0.6,500,GES,1.0,,
4,2,0.6,100,Greedy,0.0,0.0,1.0
4,2,0.6,100,GES,1.0,,
4,2,0.6,1000,Greedy,0.0,0.0,0.0
4,2,0.6,1000,GES,0.0,,
4,2,0.6,500,Greedy,0.0,0.0,0.0
4,2,0.6,500,GES,0.0,,
4,2,0.6,100,Greedy,0.0,0.0,0.0
4,2,0.6,100,GES,0.0,,
4,2,0.4,1000,Greedy,3.0,0.0,5.0
4,2,0.4,1000,GES,3.0,,
4,2,0.4,500,Greedy,3.0,0.0,5.0
4,2,0.4,500,GES,3.0,,
4,2,0.4,100,Greedy,4.0,1.0,4.0
4,2,0.4,100,GES,4.0,,
4,2,0.4,1000,Greedy,2.0,1.0,2.0
4,2,0.4,1000,GES,3.0,,
4,2,0.4,500,Greedy,2.0,1.0,2.0
4,2,0.4,500,GES,3.0,,
4,2,0.4,100,Greedy,2.0,1.0,2.0
4,2,0.4,100,GES,3.0,,
4,2,0.2,1000,Greedy,0.0,0.0,0.0
4,2,0.2,1000,GES,2.0,,
