num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD
20,10,0.8,1000,Greedy,207.0,10
20,10,0.8,1000,GES,159.0,
20,10,0.8,500,Greedy,100.0,11
20,10,0.8,500,GES,159.0,
20,10,0.8,100,Greedy,150.0,11
20,10,0.8,100,GES,160.0,
20,2,0.8,1000,Greedy,78.0,13
20,2,0.8,1000,GES,185.0,
20,2,0.8,500,Greedy,147.0,15
20,2,0.8,500,GES,204.0,
20,2,0.8,100,Greedy,144.0,15
20,2,0.8,100,GES,173.0,
20,10,0.6,1000,Greedy,67.0,11
20,10,0.6,1000,GES,167.0,
20,10,0.6,500,Greedy,96.0,11
20,10,0.6,500,GES,142.0,
20,10,0.6,100,Greedy,146.0,10
20,10,0.6,100,GES,171.0,
20,2,0.6,1000,Greedy,117.0,15
20,2,0.6,1000,GES,136.0,
20,2,0.6,500,Greedy,120.0,15
20,2,0.6,500,GES,126.0,
20,2,0.6,100,Greedy,135.0,15
20,2,0.6,100,GES,121.0,
20,10,0.4,1000,Greedy,93.0,10
20,10,0.4,1000,GES,121.0,
20,10,0.4,500,Greedy,110.0,10
20,10,0.4,500,GES,107.0,
20,10,0.4,100,Greedy,89.0,12
20,10,0.4,100,GES,90.0,
20,2,0.4,1000,Greedy,76.0,15
20,2,0.4,1000,GES,161.0,
20,2,0.4,500,Greedy,82.0,14
20,2,0.4,500,GES,133.0,
20,2,0.4,100,Greedy,92.0,16
20,2,0.4,100,GES,108.0,
20,10,0.2,1000,Greedy,36.0,11
20,10,0.2,1000,GES,43.0,
20,10,0.2,500,Greedy,23.0,8
20,10,0.2,500,GES,38.0,
20,10,0.2,100,Greedy,44.0,12
20,10,0.2,100,GES,55.0,
20,2,0.2,1000,Greedy,1.0,0
20,2,0.2,1000,GES,9.0,
20,2,0.2,500,Greedy,5.0,2
20,2,0.2,500,GES,17.0,
20,2,0.2,100,Greedy,16.0,10
20,2,0.2,100,GES,18.0,
8,4,0.8,1000,Greedy,12.0,4
8,4,0.8,1000,GES,17.0,
8,4,0.8,500,Greedy,13.0,3
8,4,0.8,500,GES,15.0,
8,4,0.8,100,Greedy,21.0,5
8,4,0.8,100,GES,26.0,
8,2,0.8,1000,Greedy,18.0,3
8,2,0.8,1000,GES,30.0,
8,2,0.8,500,Greedy,11.0,4
8,2,0.8,500,GES,23.0,
8,2,0.8,100,Greedy,20.0,4
