num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD
8,4,0.8,1000,MCMC,18.0,3
8,4,0.8,1000,GES,12.0,
8,4,0.8,500,MCMC,33.0,4
8,4,0.8,500,GES,21.0,
8,4,0.8,100,MCMC,13.0,2
8,4,0.8,100,GES,19.0,
8,2,0.8,1000,MCMC,21.0,5
8,2,0.8,1000,GES,36.0,
8,2,0.8,500,MCMC,32.0,5
8,2,0.8,500,GES,39.0,
8,2,0.8,100,MCMC,28.0,5
8,2,0.8,100,GES,21.0,
8,4,0.6,1000,MCMC,15.0,5
8,4,0.6,1000,GES,8.0,
8,4,0.6,500,MCMC,18.0,3
8,4,0.6,500,GES,24.0,
8,4,0.6,100,MCMC,18.0,4
8,4,0.6,100,GES,18.0,
8,2,0.6,1000,MCMC,16.0,4
8,2,0.6,1000,GES,13.0,
8,2,0.6,500,MCMC,20.0,4
8,2,0.6,500,GES,19.0,
8,2,0.6,100,MCMC,20.0,5
8,2,0.6,100,GES,16.0,
8,4,0.4,1000,MCMC,15.0,3
8,4,0.4,1000,GES,16.0,
8,4,0.4,500,MCMC,10.0,3
8,4,0.4,500,GES,5.0,
8,4,0.4,100,MCMC,15.0,2
8,4,0.4,100,GES,15.0,
8,2,0.4,1000,MCMC,18.0,5
8,2,0.4,1000,GES,17.0,
8,2,0.4,500,MCMC,9.0,4
8,2,0.4,500,GES,21.0,
8,2,0.4,100,MCMC,13.0,3
8,2,0.4,100,GES,19.0,
8,4,0.2,1000,MCMC,8.0,3
8,4,0.2,1000,GES,4.0,
8,4,0.2,500,MCMC,5.0,4
8,4,0.2,500,GES,8.0,
8,4,0.2,100,MCMC,11.0,3
8,4,0.2,100,GES,4.0,
8,2,0.2,1000,MCMC,5.0,2
8,2,0.2,1000,GES,4.0,
8,2,0.2,500,MCMC,9.0,3
8,2,0.2,500,GES,2.0,
8,2,0.2,100,MCMC,8.0,2
8,2,0.2,100,GES,2.0,
6,3,0.8,1000,MCMC,2.0,1
6,3,0.8,1000,GES,3.0,
6,3,0.8,500,MCMC,3.0,2
6,3,0.8,500,GES,9.0,
6,3,0.8,100,MCMC,4.0,2
6,3,0.8,100,GES,14.0,
6,2,0.8,1000,MCMC,12.0,1
6,2,0.8,1000,GES,17.0,
6,2,0.8,500,MCMC,11.0,2
6,2,0.8,500,GES,17.0,
6,2,0.8,100,MCMC,9.0,1
6,2,0.8,100,GES,10.0,
6,3,0.6,1000,MCMC,11.0,2
6,3,0.6,1000,GES,4.0,
6,3,0.6,500,MCMC,6.0,1
6,3,0.6,500,GES,9.0,
6,3,0.6,100,MCMC,6.0,1
6,3,0.6,100,GES,10.0,
6,2,0.6,1000,MCMC,8.0,3
6,2,0.6,1000,GES,6.0,
6,2,0.6,500,MCMC,2.0,2
6,2,0.6,500,GES,6.0,
6,2,0.6,100,MCMC,11.0,3
6,2,0.6,100,GES,9.0,
6,3,0.4,1000,MCMC,6.0,4
6,3,0.4,1000,GES,8.0,
6,3,0.4,500,MCMC,6.0,3
6,3,0.4,500,GES,4.0,
6,3,0.4,100,MCMC,8.0,3
