num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD
20,10,0.8,1000,DP Greedy,145,10
20,10,0.8,500,DP Greedy,197,9
20,10,0.8,100,DP Greedy,186,12
20,2,0.8,1000,DP Greedy,202,15
20,2,0.8,500,DP Greedy,170,15
20,2,0.8,100,DP Greedy,185,12
20,10,0.6,1000,DP Greedy,179,10
20,10,0.6,500,DP Greedy,151,10
20,10,0.6,100,DP Greedy,139,12
20,2,0.6,1000,DP Greedy,116,15
20,2,0.6,500,DP Greedy,141,16
20,2,0.6,100,DP Greedy,145,13
20,10,0.4,1000,DP Greedy,131,11
20,10,0.4,500,DP Greedy,127,10
20,10,0.4,100,DP Greedy,102,13
20,2,0.4,1000,DP Greedy,116,13
20,2,0.4,500,DP Greedy,110,16
20,2,0.4,100,DP Greedy,98,13
20,10,0.2,1000,DP Greedy,33,11
20,10,0.2,500,DP Greedy,51,9
20,10,0.2,100,DP Greedy,59,12
20,2,0.2,1000,DP Greedy,29,13
20,2,0.2,500,DP Greedy,28,13
20,2,0.2,100,DP Greedy,35,12
8,4,0.8,1000,DP Greedy,27,5
8,4,0.8,500,DP Greedy,28,5
8,4,0.8,100,DP Greedy,35,4
8,2,0.8,1000,DP Greedy,36,6
8,2,0.8,500,DP Greedy,20,5
8,2,0.8,100,DP Greedy,23,4
8,4,0.6,1000,DP Greedy,21,4
8,4,0.6,500,DP Greedy,13,4
8,4,0.6,100,DP Greedy,10,3
8,2,0.6,1000,DP Greedy,8,4
8,2,0.6,500,DP Greedy,20,3
8,2,0.6,100,DP Greedy,13,3
8,4,0.4,1000,DP Greedy,10,4
8,4,0.4,500,DP Greedy,12,4
8,4,0.4,100,DP Greedy,8,4
8,2,0.4,1000,DP Greedy,1,0
8,2,0.4,500,DP Greedy,0,0
8,2,0.4,100,DP Greedy,4,2
8,4,0.2,1000,DP Greedy,2,0
8,4,0.2,500,DP Greedy,1,0
8,4,0.2,100,DP Greedy,3,2
8,2,0.2,1000,DP Greedy,2,4
8,2,0.2,500,DP Greedy,2,3
8,2,0.2,100,DP Greedy,0,4
5,2,0.8,1000,DP Greedy,13,3
5,2,0.8,500,DP Greedy,6,1
5,2,0.8,100,DP Greedy,7,1
5,2,0.8,1000,DP Greedy,2,2
5,2,0.8,500,DP Greedy,2,2
5,2,0.8,100,DP Greedy,11,2
5,2,0.6,1000,DP Greedy,0,1
5,2,0.6,500,DP Greedy,0,0
5,2,0.6,100,DP Greedy,0,0
5,2,0.6,1000,DP Greedy,3,0
5,2,0.6,500,DP Greedy,0,0
5,2,0.6,100,DP Greedy,5,1
5,2,0.4,1000,DP Greedy,2,0
5,2,0.4,500,DP Greedy,0,0
5,2,0.4,100,DP Greedy,4,0
5,2,0.4,1000,DP Greedy,0,0
5,2,0.4,500,DP Greedy,0,0
5,2,0.4,100,DP Greedy,0,0
5,2,0.2,1000,DP Greedy,2,0
5,2,0.2,500,DP Greedy,0,0
5,2,0.2,100,DP Greedy,1,0
5,2,0.2,1000,DP Greedy,0,0
5,2,0.2,500,DP Greedy,0,0
5,2,0.2,100,DP Greedy,5,2
20,10,0.8,1000,DP Greedy,216,10
20,10,0.8,500,DP Greedy,215,11
20,10,0.8,100,DP Greedy,186,12
20,2,0.8,1000,DP Greedy,176,17
20,2,0.8,500,DP Greedy,158,13
20,2,0.8,100,DP Greedy,185,14
20,10,0.6,1000,DP Greedy,157,11
20,10,0.6,500,DP Greedy,131,10
20,10,0.6,100,DP Greedy,148,12
20,2,0.6,1000,DP Greedy,183,17
20,2,0.6,500,DP Greedy,156,15
20,2,0.6,100,DP Greedy,165,13
20,10,0.4,1000,DP Greedy,98,9
20,10,0.4,500,DP Greedy,130,12
20,10,0.4,100,DP Greedy,89,9
20,2,0.4,1000,DP Greedy,115,14
20,2,0.4,500,DP Greedy,134,15
20,2,0.4,100,DP Greedy,88,13
20,10,0.2,1000,DP Greedy,26,9
20,10,0.2,500,DP Greedy,31,10
20,10,0.2,100,DP Greedy,26,13
20,2,0.2,1000,DP Greedy,45,11
20,2,0.2,500,DP Greedy,33,10
20,2,0.2,100,DP Greedy,37,13
8,4,0.8,1000,DP Greedy,16,3
8,4,0.8,500,DP Greedy,18,4
8,4,0.8,100,DP Greedy,14,3
8,2,0.8,1000,DP Greedy,27,4
8,2,0.8,500,DP Greedy,18,4
8,2,0.8,100,DP Greedy,27,5
8,4,0.6,1000,DP Greedy,15,3
8,4,0.6,500,DP Greedy,16,4
8,4,0.6,100,DP Greedy,16,4
8,2,0.6,1000,DP Greedy,11,3
8,2,0.6,500,DP Greedy,14,2
8,2,0.6,100,DP Greedy,18,4
8,4,0.4,1000,DP Greedy,13,4
8,4,0.4,500,DP Greedy,6,3
8,4,0.4,100,DP Greedy,8,1
8,2,0.4,1000,DP Greedy,4,3
8,2,0.4,500,DP Greedy,7,4
8,2,0.4,100,DP Greedy,16,4
8,4,0.2,1000,DP Greedy,10,3
8,4,0.2,500,DP Greedy,17,3
8,4,0.2,100,DP Greedy,11,4
8,2,0.2,1000,DP Greedy,6,3
8,2,0.2,500,DP Greedy,6,3
8,2,0.2,100,DP Greedy,14,4
5,2,0.8,1000,DP Greedy,9,3
5,2,0.8,500,DP Greedy,7,2
5,2,0.8,100,DP Greedy,4,1
5,2,0.8,1000,DP Greedy,13,2
5,2,0.8,500,DP Greedy,11,1
5,2,0.8,100,DP Greedy,7,1
5,2,0.6,1000,DP Greedy,9,2
5,2,0.6,500,DP Greedy,5,2
5,2,0.6,100,DP Greedy,7,3
5,2,0.6,1000,DP Greedy,10,3
5,2,0.6,500,DP Greedy,6,2
5,2,0.6,100,DP Greedy,7,2
5,2,0.4,1000,DP Greedy,5,1
5,2,0.4,500,DP Greedy,3,1
5,2,0.4,100,DP Greedy,3,1
5,2,0.4,1000,DP Greedy,0,0
5,2,0.4,500,DP Greedy,0,0
5,2,0.4,100,DP Greedy,1,1
5,2,0.2,1000,DP Greedy,0,0
5,2,0.2,500,DP Greedy,0,0
5,2,0.2,100,DP Greedy,1,0
5,2,0.2,1000,DP Greedy,0,0
5,2,0.2,500,DP Greedy,0,0
5,2,0.2,100,DP Greedy,2,0
20,10,0.8,1000,DP Greedy,137,12
20,10,0.8,500,DP Greedy,156,10
20,10,0.8,100,DP Greedy,150,12
20,2,0.8,1000,DP Greedy,182,17
20,2,0.8,500,DP Greedy,145,16
20,2,0.8,100,DP Greedy,182,14
20,10,0.6,1000,DP Greedy,125,10
20,10,0.6,500,DP Greedy,156,11
20,10,0.6,100,DP Greedy,158,10
20,2,0.6,1000,DP Greedy,117,15
20,2,0.6,500,DP Greedy,177,15
20,2,0.6,100,DP Greedy,136,13
20,10,0.4,1000,DP Greedy,138,10
20,10,0.4,500,DP Greedy,112,10
20,10,0.4,100,DP Greedy,91,12
20,2,0.4,1000,DP Greedy,120,13
20,2,0.4,500,DP Greedy,80,14
20,2,0.4,100,DP Greedy,117,12
20,10,0.2,1000,DP Greedy,15,7
20,10,0.2,500,DP Greedy,7,7
20,10,0.2,100,DP Greedy,18,9
20,2,0.2,1000,DP Greedy,29,12
20,2,0.2,500,DP Greedy,65,14
20,2,0.2,100,DP Greedy,32,9
8,4,0.8,1000,DP Greedy,11,4
8,4,0.8,500,DP Greedy,27,4
8,4,0.8,100,DP Greedy,24,2
8,2,0.8,1000,DP Greedy,19,5
8,2,0.8,500,DP Greedy,25,4
8,2,0.8,100,DP Greedy,26,5
8,4,0.6,1000,DP Greedy,14,3
8,4,0.6,500,DP Greedy,20,3
8,4,0.6,100,DP Greedy,14,2
8,2,0.6,1000,DP Greedy,7,4
8,2,0.6,500,DP Greedy,14,4
8,2,0.6,100,DP Greedy,18,5
8,4,0.4,1000,DP Greedy,13,3
8,4,0.4,500,DP Greedy,6,2
8,4,0.4,100,DP Greedy,14,4
8,2,0.4,1000,DP Greedy,18,3
8,2,0.4,500,DP Greedy,3,2
8,2,0.4,100,DP Greedy,6,3
8,4,0.2,1000,DP Greedy,0,0
8,4,0.2,500,DP Greedy,2,0
8,4,0.2,100,DP Greedy,2,2
8,2,0.2,1000,DP Greedy,8,3
8,2,0.2,500,DP Greedy,8,3
8,2,0.2,100,DP Greedy,9,2
5,2,0.8,1000,DP Greedy,4,2
5,2,0.8,500,DP Greedy,6,1
5,2,0.8,100,DP Greedy,3,2
5,2,0.8,1000,DP Greedy,2,1
5,2,0.8,500,DP Greedy,8,2
5,2,0.8,100,DP Greedy,10,2
5,2,0.6,1000,DP Greedy,10,2
5,2,0.6,500,DP Greedy,11,2
5,2,0.6,100,DP Greedy,11,3
5,2,0.6,1000,DP Greedy,8,2
5,2,0.6,500,DP Greedy,10,1
5,2,0.6,100,DP Greedy,7,1
5,2,0.4,1000,DP Greedy,8,2
5,2,0.4,500,DP Greedy,9,2
5,2,0.4,100,DP Greedy,8,1
5,2,0.4,1000,DP Greedy,0,0
5,2,0.4,500,DP Greedy,0,0
5,2,0.4,100,DP Greedy,3,2
5,2,0.2,1000,DP Greedy,0,1
