num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD
20,10,0.8,1000,DP Greedy,207,10
20,10,0.8,500,DP Greedy,183,12
20,10,0.8,100,DP Greedy,153,12
20,2,0.8,1000,DP Greedy,174,14
20,2,0.8,500,DP Greedy,151,14
20,2,0.8,100,DP Greedy,185,14
20,10,0.6,1000,DP Greedy,150,10
20,10,0.6,500,DP Greedy,137,11
20,10,0.6,100,DP Greedy,136,11
20,2,0.6,1000,DP Greedy,180,16
20,2,0.6,500,DP Greedy,156,15
20,2,0.6,100,DP Greedy,153,15
20,10,0.4,1000,DP Greedy,86,8
20,10,0.4,500,DP Greedy,138,11
20,10,0.4,100,DP Greedy,85,12
20,2,0.4,1000,DP Greedy,152,16
20,2,0.4,500,DP Greedy,106,16
20,2,0.4,100,DP Greedy,88,13
20,10,0.2,1000,DP Greedy,19,10
20,10,0.2,500,DP Greedy,25,8
20,10,0.2,100,DP Greedy,19,10
20,2,0.2,1000,DP Greedy,10,7
20,2,0.2,500,DP Greedy,27,9
20,2,0.2,100,DP Greedy,37,13
8,4,0.8,1000,DP Greedy,15,4
8,4,0.8,500,DP Greedy,16,3
8,4,0.8,100,DP Greedy,18,4
8,2,0.8,1000,DP Greedy,18,2
8,2,0.8,500,DP Greedy,7,0
8,2,0.8,100,DP Greedy,17,3
8,4,0.6,1000,DP Greedy,9,1
8,4,0.6,500,DP Greedy,13,4
8,4,0.6,100,DP Greedy,13,4
8,2,0.6,1000,DP Greedy,8,2
8,2,0.6,500,DP Greedy,16,3
8,2,0.6,100,DP Greedy,4,3
8,4,0.4,1000,DP Greedy,7,2
8,4,0.4,500,DP Greedy,0,0
8,4,0.4,100,DP Greedy,8,1
8,2,0.4,1000,DP Greedy,4,3
8,2,0.4,500,DP Greedy,3,3
8,2,0.4,100,DP Greedy,3,3
8,4,0.2,1000,DP Greedy,10,3
8,4,0.2,500,DP Greedy,5,4
8,4,0.2,100,DP Greedy,11,4
8,2,0.2,1000,DP Greedy,6,3
8,2,0.2,500,DP Greedy,6,3
8,2,0.2,100,DP Greedy,8,1
5,2,0.8,1000,DP Greedy,9,3
5,2,0.8,500,DP Greedy,8,2
5,2,0.8,100,DP Greedy,4,1
5,2,0.8,1000,DP Greedy,13,2
5,2,0.8,500,DP Greedy,4,2
5,2,0.8,100,DP Greedy,7,2
5,2,0.6,1000,DP Greedy,13,2
5,2,0.6,500,DP Greedy,11,2
5,2,0.6,100,DP Greedy,7,3
5,2,0.6,1000,DP Greedy,3,1
5,2,0.6,500,DP Greedy,0,0
5,2,0.6,100,DP Greedy,9,2
5,2,0.4,1000,DP Greedy,5,1
5,2,0.4,500,DP Greedy,0,1
5,2,0.4,100,DP Greedy,0,1
5,2,0.4,1000,DP Greedy,0,0
5,2,0.4,500,DP Greedy,0,0
5,2,0.4,100,DP Greedy,1,1
5,2,0.2,1000,DP Greedy,0,0
5,2,0.2,500,DP Greedy,0,0
5,2,0.2,100,DP Greedy,1,0
5,2,0.2,1000,DP Greedy,0,0
5,2,0.2,500,DP Greedy,0,0
5,2,0.2,100,DP Greedy,2,0
20,10,0.8,1000,DP Greedy,206,10
20,10,0.8,500,DP Greedy,149,11
20,10,0.8,100,DP Greedy,178,11
20,2,0.8,1000,DP Greedy,166,16
20,2,0.8,500,DP Greedy,174,16
20,2,0.8,100,DP Greedy,184,11
20,10,0.6,1000,DP Greedy,141,9
20,10,0.6,500,DP Greedy,168,9
20,10,0.6,100,DP Greedy,130,13
20,2,0.6,1000,DP Greedy,136,16
20,2,0.6,500,DP Greedy,156,15
20,2,0.6,100,DP Greedy,152,14
20,10,0.4,1000,DP Greedy,169,10
20,10,0.4,500,DP Greedy,111,12
20,10,0.4,100,DP Greedy,136,12
20,2,0.4,1000,DP Greedy,132,16
20,2,0.4,500,DP Greedy,118,16
20,2,0.4,100,DP Greedy,115,14
20,10,0.2,1000,DP Greedy,44,8
20,10,0.2,500,DP Greedy,51,11
20,10,0.2,100,DP Greedy,39,13
20,2,0.2,1000,DP Greedy,30,11
20,2,0.2,500,DP Greedy,6,3
20,2,0.2,100,DP Greedy,46,13
8,4,0.8,1000,DP Greedy,15,2
8,4,0.8,500,DP Greedy,19,3
8,4,0.8,100,DP Greedy,16,3
8,2,0.8,1000,DP Greedy,24,4
8,2,0.8,500,DP Greedy,30,4
8,2,0.8,100,DP Greedy,16,3
8,4,0.6,1000,DP Greedy,36,4
8,4,0.6,500,DP Greedy,19,2
8,4,0.6,100,DP Greedy,27,3
8,2,0.6,1000,DP Greedy,0,0
8,2,0.6,500,DP Greedy,6,2
8,2,0.6,100,DP Greedy,10,4
8,4,0.4,1000,DP Greedy,0,0
8,4,0.4,500,DP Greedy,0,0
8,4,0.4,100,DP Greedy,18,3
8,2,0.4,1000,DP Greedy,11,3
8,2,0.4,500,DP Greedy,19,4
8,2,0.4,100,DP Greedy,16,4
8,4,0.2,1000,DP Greedy,0,1
8,4,0.2,500,DP Greedy,0,1
8,4,0.2,100,DP Greedy,6,1
8,2,0.2,1000,DP Greedy,0,2
8,2,0.2,500,DP Greedy,0,2
8,2,0.2,100,DP Greedy,2,2
5,2,0.8,1000,DP Greedy,8,2
5,2,0.8,500,DP Greedy,4,1
5,2,0.8,100,DP Greedy,9,2
5,2,0.8,1000,DP Greedy,0,1
5,2,0.8,500,DP Greedy,0,1
5,2,0.8,100,DP Greedy,5,1
5,2,0.6,1000,DP Greedy,0,0
5,2,0.6,500,DP Greedy,2,2
5,2,0.6,100,DP Greedy,5,2
5,2,0.6,1000,DP Greedy,0,1
5,2,0.6,500,DP Greedy,0,2
5,2,0.6,100,DP Greedy,11,2
5,2,0.4,1000,DP Greedy,3,1
5,2,0.4,500,DP Greedy,3,1
5,2,0.4,100,DP Greedy,3,1
5,2,0.4,1000,DP Greedy,0,0
5,2,0.4,500,DP Greedy,3,1
5,2,0.4,100,DP Greedy,3,2
5,2,0.2,1000,DP Greedy,0,0
5,2,0.2,500,DP Greedy,0,0
5,2,0.2,100,DP Greedy,2,2
5,2,0.2,1000,DP Greedy,0,0
5,2,0.2,500,DP Greedy,1,0
5,2,0.2,100,DP Greedy,0,1
20,10,0.8,1000,DP Greedy,204,11
20,10,0.8,500,DP Greedy,166,10
20,10,0.8,100,DP Greedy,154,12
20,2,0.8,1000,DP Greedy,191,16
20,2,0.8,500,DP Greedy,225,15
20,2,0.8,100,DP Greedy,182,14
20,10,0.6,1000,DP Greedy,193,9
20,10,0.6,500,DP Greedy,157,8
20,10,0.6,100,DP Greedy,147,11
20,2,0.6,1000,DP Greedy,109,14
20,2,0.6,500,DP Greedy,111,14
20,2,0.6,100,DP Greedy,137,13
20,10,0.4,1000,DP Greedy,129,12
20,10,0.4,500,DP Greedy,114,10
20,10,0.4,100,DP Greedy,78,12
20,2,0.4,1000,DP Greedy,128,15
20,2,0.4,500,DP Greedy,85,13
20,2,0.4,100,DP Greedy,124,11
20,10,0.2,1000,DP Greedy,14,7
20,10,0.2,500,DP Greedy,7,7
20,10,0.2,100,DP Greedy,18,9
20,2,0.2,1000,DP Greedy,3,5
20,2,0.2,500,DP Greedy,59,11
20,2,0.2,100,DP Greedy,30,12
8,4,0.8,1000,DP Greedy,11,4
8,4,0.8,500,DP Greedy,22,4
8,4,0.8,100,DP Greedy,20,3
8,2,0.8,1000,DP Greedy,20,5
8,2,0.8,500,DP Greedy,19,3
8,2,0.8,100,DP Greedy,30,5
8,4,0.6,1000,DP Greedy,14,3
8,4,0.6,500,DP Greedy,20,4
8,4,0.6,100,DP Greedy,14,2
8,2,0.6,1000,DP Greedy,0,1
8,2,0.6,500,DP Greedy,14,4
8,2,0.6,100,DP Greedy,20,5
8,4,0.4,1000,DP Greedy,9,3
8,4,0.4,500,DP Greedy,7,3
8,4,0.4,100,DP Greedy,9,4
8,2,0.4,1000,DP Greedy,8,4
8,2,0.4,500,DP Greedy,0,0
8,2,0.4,100,DP Greedy,6,3
8,4,0.2,1000,DP Greedy,0,0
8,4,0.2,500,DP Greedy,2,0
8,4,0.2,100,DP Greedy,2,2
8,2,0.2,1000,DP Greedy,0,1
8,2,0.2,500,DP Greedy,0,0
8,2,0.2,100,DP Greedy,9,2
5,2,0.8,1000,DP Greedy,6,1
5,2,0.8,500,DP Greedy,2,2
5,2,0.8,100,DP Greedy,3,2
5,2,0.8,1000,DP Greedy,0,0
5,2,0.8,500,DP Greedy,0,0
5,2,0.8,100,DP Greedy,13,2
